symbol	manifest_address	source_status	rom_structure	corpus_status	decision	confidence	reason
_AIBattleWithdrawText	22:40BE	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_BillsHouseInitiatedText	22:49FB	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_BoostedText	22:5BE1	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
_BoxFullText	22:6198	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_CanMoveBouldersText	29:4051	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_CardKeySuccessText1	20:4000	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_CeruleanBadgeHouseMiddleAgedManWhichBadgeText	26:513A	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_CeruleanCityRocketIBetterGetMovingText	29:4F96	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_DexRatingText	22:4267	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_EnemyMonFaintedText	22:56C7	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
_ExpPointsText	22:5BEE	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
_FightingDojoKarateMasterStayAndTrainWithUsText	28:5972	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_GainedText	22:5BC2	HISTORICAL_ONLY		NOT_IN_GENERATOR_REPORT	HISTORICAL_ONLY	HIGH	Runtime moderno ricostruisce il testo direttamente con Strings(); simbolo presente come riferimento storico/commento.
_GotMapText	25:4C9C	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_GotMonText	29:4180	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_HookedMonAttackedText	22:5C33	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_ItemUseBallText05	29:67CF	COMPOSITE		NOT_IN_GENERATOR_REPORT	COMPOSITE	MEDIUM	Famiglia di testi gestita come struttura/comportamento composito nel runtime moderno.
_ItemUseBallText06	29:6835	COMPOSITE		NOT_IN_GENERATOR_REPORT	COMPOSITE	MEDIUM	Famiglia di testi gestita come struttura/comportamento composito nel runtime moderno.
_ItemUseBallText07	29:67EE	COMPOSITE		NOT_IN_GENERATOR_REPORT	COMPOSITE	MEDIUM	Famiglia di testi gestita come struttura/comportamento composito nel runtime moderno.
_ItemUseBallText08	29:6810	COMPOSITE		NOT_IN_GENERATOR_REPORT	COMPOSITE	MEDIUM	Famiglia di testi gestita come struttura/comportamento composito nel runtime moderno.
_LancesRoomLanceAfterBattleText	21:5E9E	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_LinkCableHelpText1	22:5001	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
_MewtwoBattleText	21:5C72	RUNTIME_CANDIDATE		NOT_IN_GENERATOR_REPORT	UNRESOLVED	PENDING	Simbolo runtime candidato; richiede verifica finale di indirizzo e struttura ROM.
